element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref
Fe,1,836.56330,0.00021,560,1.69e-03,C,26224.969,38175.355,,T5720,L11631
Ne,1,836.57464,0.00004,4600,2.25e-02,C+,149657.0392,161607.2609,,T6976,L3451
Fe,2,836.57495,0.00005,500bl(Ne),1.34e-01,B+,90593.511,102543.689,,T6892c83,L18349c148
Fe,2,836.6623,0.0003,10,6.e-03,E,97507.414,109456.381,,T6892c83,L18349c139
Co,2,836.89574,0.00022,120,5.7e-02,C+,97496.428,109442.072,,T6999,L9429c118
Co,2,837.22473,0.00025,340,2.1e-01,C+,86346.705,98287.640,,T6999,L9429c118
Co,1,837.284,0.010,9,8.7e-02,B,32841.99,44782.13,,T4223,L3475
Fe,2,837.55268,0.00005,90,9.3e-02,B+,90397.873,102334.140,,T6892c83,L18349c139
O,2,837.5841,0.0010,8,2.96e-01,C,246029.295,257965.11,,T5723LS,L10621
Cl,1,837.594,0.010,99900,2.8e-01,D,71958.363,83894.037,,"T1277n,T1619CA,LS",L298
Ne,1,837.63590,0.00009,6600,2.46e-02,C+,149657.0392,161592.1200,,T6976,L9097
Fe,2,837.6614,0.0004,12,2.9e-03,D+,92432.098,104366.802,,T6892c83,L18349c148
Ne,1,837.76070,0.00010,76000,4.99e-01,B+,149657.0392,161590.3412,,T6976,L7292
Ti,1,837.7859,0.0008,620,3.48e-03,B,6661.006,18593.947,,T8000,L10989
Ag,2,837.9578,0.0004,2000,5.0e-01,C,120911.2048,132841.701,,T9142,L11881c113
Ti,1,838.2529,0.0008,610,4.86e-03,B,6598.765,18525.059,,T8000,L10989
Cl,2,838.267,0.010,180,1.3e-01,E,119843.31,131769.41,,"T1619CA,LS",L1617
Ti,1,838.2779,0.0008,450,6.11e-03,B,6556.833,18482.774,,T8000,L10989
W,1,838.294,0.010,30,1.0e-04,E,9528.06,21453.90,,T4976,L153
Kr,1,838.490,0.010,15,2.08e-03,D,92964.3943,104887.315,,"T3774n,u41",L6099
Fe,2,838.52638,0.00009,120,7.5e-02,C+,78725.822,90648.230,,T6892c83,L18349c139
Fe,1,838.77719,0.00021,26300,6.09e-03,B,17550.181,29469.024,,T4187,L11631
Fe,2,838.79115,0.00006,60,5.4e-02,C+,91199.776,103118.421,,T6892c83,L18349c139
K,1,839.022,0.010,3,2.71e-04,B+,21026.551,32941.9262,,T9168,L6096
Cl,2,839.202,0.010,100,3.2e-02,E,119843.31,131756.12,,"T1619CA,LS",L1617
H,1,839.240,0.003,700,1.5167e-05,AAA,97492.304,[109404.5776],,T8637,L7400c29
Ti,3,839.420,0.010,12,5.6e-01,D,169912.11,181821.83,,T1216,L3593
Co,2,839.4575,0.0025,94,9.3e-02,C+,84586.868,96496.103,,T6999,L4687c119
Fe,2,839.6187,0.0004,10,2.7e-04,D,90487.827,102394.764,,T6892c83,L18349c145
Co,2,839.7290,0.0005,62,1.22e-01,C+,99022.528,110927.845,,T6999,L9429c118
Fe,2,839.86002,0.00005,100,9.6e-02,B+,90898.878,102802.353,,T6892c83,L18349c139
Fe,2,840.01893,0.00004,170,1.18e-01,B+,90901.130,102802.353,,T6892c83,L18349c139
Fe,2,840.2292,0.0008,4,4.2e-04,D+,92166.417,104064.664,,T6892c83,L18349c139
W,1,840.260,0.010,40,3.8e-04,D,19535.01,31432.91,,T4976,L153
Cu,2,840.2897,0.0007,1600,3.9e-02,C,110084.4773,121981.8546,,T7181,L869c171
O,2,840.3370,0.0010,7,2.30e-01,C,245903.224,257799.93,,T5723LS,L10621
Ag,2,840.38338,0.00021,5000,4.7e-01,C,120533.6058,132429.668,,T9142,L11881c113
Fe,2,840.42622,0.00019,19,2.0e-02,D+,90648.230,102543.689,,T6892c83,L18349c139
Co,2,840.4460,0.0025,94,5.2e-02,C+,85167.645,97062.844,,T6999,L4687c119
Hg,2,840.6119,0.0003,100c,9.8e-02,,127795.481,139688.308,,T7226,L11760
Ti,3,840.615,0.010,8,3.4e-01,D,169615.12,181507.92,,T1216,L3593
Fr,1,840.705,0.004,,3.18e-04,,19739.98,31631.49,,T6898,L12264
Ar,1,840.8210,0.0010,15000,2.23e-01,B+,95399.8276,107289.7001,,T5223,L2634
Xe,1,840.91894,0.00005,2000,3.06e-02,B+,67067.547,78956.031,,T3269,L7292c110
Co,2,841.1680,0.0004,93,9.0e-02,C+,98287.640,110172.603,,T6999,L9429c118
Ti,1,841.2356,0.0008,960,1.28e-02,B,6598.765,18482.774,,T8000,L10989
Kr,1,841.2428,0.0010,10,1.79e-02,C,93123.3409,105007.245,,"T3774n,T3408,T7199",L7292
In,2,841.311,0.004,520,6.6e-02,C,127254.067,139137.055,,T9131,L3548c126
H,1,841.332,0.003,700,1.9643e-05,AAA,97492.304,[109374.9555],,T8637,L7400c29
C,2,841.342,0.010,6h*,3.19e-01,B,219590.79,231473.41,,T10528,L1176
C,2,841.342,0.010,6h*,3.89e-01,B,219619.86,231502.34,,T10528,L1176
C,2,841.449,0.010,4h*,2.74e-01,B,219570.20,231451.31,,T10528,L1176
C,2,841.449,0.010,4h*,3.19e-01,B,219557.50,231438.57,,T10528,L1176
Fe,2,841.5543,0.0007,23,1.2e-02,D+,80346.060,92225.549,,T6892c83,L18349c139
Ta,1,841.573,0.010,5,5.3e-04,C,9975.81,21855.07,,T4976,L3475
Fe,3,841.6500,0.0020,120,4.30e-01,B,198737.2,210615.4,,u44,L1171
Ne,1,841.71597,0.00009,2700,1.07e-02,C+,149824.2215,161701.4486,,T6976,L9097
K,1,841.754,0.010,2,4.81e-04,A,21534.680,33411.3986,,T9168,L6096
Ne,1,841.84265,0.00004,26000,1.56e-01,B+,149824.2215,161699.6613,,T6976,L3451
K,1,842.000,0.010,1,5.25e-04,A,21536.988,33410.2306,,T9168,L6096
Fe,2,842.05606,0.00006,250,1.03e-01,B+,78525.442,90397.873,,T6892c83,L18349c139
Fe,2,842.1125,0.0003,28,1.8e-04,D,98294.909,110166.534,,T6892c83,L18349c139
In,2,842.223,0.014,71,4.5e-03,D+,134744.019,146614.22,,T9131,L3548c126
S,2,842.2300,0.0010,10,1.76e-02,C,121530.02,133399.97,,T3186c85,L5883
In,2,842.351,0.014,92,2.6e-02,C,134744.019,146612.28,,T9131,L3548c126
Fe,2,842.39253,0.00004,700,2.28e-01,B+,78725.822,90593.511,,T6892c83,L18349c139
Ar,1,842.4648,0.0010,20000,2.15e-01,B+,93750.5978,105617.2700,,T5223,L2634
Fr,1,842.515,0.004,,3.17e-04,,19739.98,31605.95,,T6898,L12264
Ti,1,842.6504,0.0009,1500,1.20e-02,B,6661.006,18525.059,,T8000,L10989
Cl,1,842.825,0.010,15000,2.4e-01,D,72827.038,84688.637,,T1277LS,L298
Ag,2,843.15,0.21,270,2.4e-01,C,137225.409,149082.86,,T9142,L647c114
Co,2,843.355,0.005,13d,5.0e-03,D,85481.689,97335.685,,T6999,L4687c119
In,2,843.453,0.014,250,2.9e-02,C,134771.897,146624.75,,T9131,L3548c126
Ti,1,843.4959,0.0009,3100,1.55e-02,B,6842.962,18695.134,,T8000,L10989
Ti,1,843.5650,0.0009,2100,1.29e-02,B,6742.756,18593.947,,T8000,L10989
Xe,1,843.7550,0.0010,10,9.0e-04,C,78956.031,90804.538,,T5818,L4739
H,1,843.795,0.003,700,2.5804e-05,AAA,97492.304,[109340.2604],,T8637,L7400c29
N,2,843.874,0.010,550,1.91e-01,B,178273.38,190120.24,,T7333,L3513
Fe,2,843.91266,0.00005,120,9.3e-02,B+,90487.827,102334.140,,T6892c83,L18349c139
O,1,844.625,0.010,810,3.22e-01,B,76794.978,88631.303,,"T5803,LS",L3760
O,1,844.636,0.010,1000,3.22e-01,B,76794.978,88631.146,,"T5803,LS",L3760
Br,1,844.6551,0.0019,40000,2.8e-01,D,64907.19,76743.08,,"T6936n,T9382",L351
O,1,844.676,0.010,935,3.22e-01,B,76794.978,88630.587,,"T5803,LS",L3760
Mn,2,844.845,0.002,40,1.5e-01,C,85895.477,97728.727,,c88,L562
S,1,844.956,0.010,5,1.7e-02,D,64888.964,76720.65,,"T1619CA,LS","L7444,L7427"
Fe,2,845.10146,0.00004,500,4.8e-02,B+,78237.709,90067.357,,T6892c83,L18349c139
S,1,845.134,0.010,2,5.7e-03,D,64891.386,76720.65,,"T1619CA,LS",L7444
S,1,845.216,0.010,5,2.8e-02,D,64892.582,76720.65,,"T1619CA,LS","L7444,L7427"
Hf,1,846.0000,0.0015,2800,7.0e-03,C,16766.637,28583.7248,,T5346,L16323
In,2,846.227,0.004,240,1.2e-01,C,127573.319,139387.30,,T9131,L3548c126
Ne,1,846.33569,0.00004,3700,3.20e-02,C+,149824.2215,161636.6175,,T6976,L3451
H,1,846.726,0.003,700,3.4442e-05,AAA,97492.304,[109299.2642],,T8637,L7400c29
Fe,1,846.84069,0.00022,6800,2.63e-03,B,17927.382,29732.736,,T4187,L11631
Fe,2,846.85908,0.00005,310bl(Fe II)*,1.92e-01,B+,78237.709,90042.804,,T6892c83,L18349c148
Fe,2,846.92345,0.00004,500,3.32e-01,B+,78844.031,90648.230,,T6892c83,L18349c139
Fe,2,847.0370,0.0006,40,4.7e-04,D,54275.649,66078.272,,T6892c83,L18349c139
Fe,2,847.1102,0.0011,20,3.5e-02,E,98445.410,110247.006,,T6892c83,L18349c139
V,2,847.699,0.003,23h,3.1e-02,D+,79435.13,91228.554,,T9770,L10089c179
Fe,3,847.7128,0.0020,120,2.73e-01,B,198606.6,210399.8,,u44,L1171
Br,1,847.7450,0.0019,4000,2.3e-01,C+,66883.87,78676.65,,"T6936n,T9382",L351
Fe,3,847.9708,0.0020,190,6.36e-01,B,198606.6,210396.2,,u44,L1171
Fe,3,848.1378,0.0020,190,9.50e-01,B,198606.6,210393.9,,u44,L1171
Mo,1,848.3346,0.0010,45h,2.58e-03,B,25794.608,37579.174,,T5293,"L10250,L3475"
Ne,1,848.44424,0.00004,1300,7.15e-03,C+,149824.2215,161607.2609,,T6976,L3451
Fe,2,849.01022,0.00004,1200,1.75e-01,B+,78525.442,90300.628,,T6892c83,L18349c139
Fe,2,849.06915,0.00004,900,2.95e-01,B+,89924.150,101698.519,,T6892c83,L18349c139
Ag,2,849.2643,0.0017,2600,4.3e-01,C,125404.8818,137176.52,,T9142,L17886c114
Co,2,849.3300,0.0006,72,1.5e-01,C+,99235.161,111005.925,,T6999,L9429c118
Mn,2,849.535,0.035,100bl,2.1e-01,C,85960.622,97728.727,,c88,L562
Ne,1,849.53591,0.00004,69000,3.93e-01,B+,149824.2215,161592.1200,,T6976,L3451
Ca,2,849.802,0.010,130,1.11e-02,C,13650.19,25414.40,,"u7,LS",L7323
Kr,1,849.821,0.010,30,4.8e-03,D,93123.3409,104887.315,,"T3774n,u41",L6099
Fe,2,849.96157,0.00004,1300,2.27e-01,B+,78725.822,90487.827,,T6892c83,L18349c139
C,3,850.032,0.010,300,1.01e-01,B,247170.26,258931.29,,T5633,L1113
H,1,850.249,0.003,(1200),4.6801e-05,AAA,97492.304,[109250.3433],,T8637,L7400c29
Co,2,850.3212,0.0005,92,7.4e-02,C+,97062.844,108819.860,,T6999,L9429c118
Cu,2,850.3394,0.0005,3600,1.6e-02,C,108335.6078,120092.3828,,T7181,L869c171
K,1,850.345,0.010,11bl*,1.32e-02,B+,21534.680,33291.40,,T8262,L6096
K,1,850.345,0.010,11bl*,8.80e-04,B+,21534.680,33291.40,,T8262,L6096
Fe,2,850.40012,0.00004,240,9.3e-02,B+,90638.823,102394.764,,T6892c83,L18349c139
K,1,850.511,0.010,10,1.23e-02,B+,21536.988,33291.40,,T8262,L6096
Fe,2,850.5313,0.0005,13,2.6e-04,D,91048.225,102802.353,,T6892c83,L18349c139
Ca,3,850.550,0.004,11H,2.15e-01,B,359520.60,371274.48,,u33,L1405
Ti,3,850.588,0.010,7,2.6e-01,D,169615.12,181368.45,,T1216,L3593
Co,2,850.6750,0.0005,170,3.7e-01,C+,85876.271,97628.434,,T6999,L9429c118
La,1,850.737,0.010,13h,3.6e-02,C,8446.044,20197.34,,T9460,L3475
Fe,2,850.86770,0.00004,600,1.44e-01,B+,78844.031,90593.511,,T6892c83,L18349c139
Kr,1,850.88728,0.00010,200,1.811e-01,A,85846.7046,97595.9153,,T7199,L11281
Fe,3,850.9061,0.0020,300,5.87e-01,B,198655.9,210404.8,,u44,L1171
Fr,1,851.047,0.004,,3.66e-02,,13923.998,25671.00,,T6898,L12264
Cu,2,851.10626,0.00020,11000,1.0e-01,D+,121981.8546,133728.0387,,T9697,L19804c168
Fe,3,851.2720,0.0020,190,5.86e-01,B,198655.9,210399.8,,u44,L1171
Fe,1,851.40716,0.00022,5200,1.09e-03,B,17726.988,29469.024,,T4187,L11631
Fe,2,851.51076,0.00004,400bl(Fe I),1.0e-02,D+,90593.511,102334.140,,T6892c83,L18349c148
Fe,1,851.5108,0.0015,1050bl,1.11e-03,B,24338.767,36079.372,,T5720,L11631
Fe,3,851.5288,0.0020,120,3.12e-01,B,198655.9,210396.2,,u44,L1171
S,2,851.5475,0.0010,8bl,2.10e-02,C,121528.72,133268.68,,T3186c85,L5883
Co,2,851.5901,0.0004,91,3.5e-01,C+,85596.170,97335.685,,T6999,L9429c118
Ti,3,851.640,0.010,5,1.3e-01,D,169769.13,181507.92,,T1216,L3593
Cs,1,852.113165,0.000004,,3.279e-01,AAA,0.0000,11732.3071041,,T6469,L15527c91
Ar,1,852.1442,0.0010,15000,1.39e-01,B,95399.8276,107131.7086,,T5223,L2634
Fe,2,852.1512,0.0006,9,1.3e-03,D+,91070.566,102802.353,,T6892c83,L18349c139
Xe,1,852.2550,0.0010,30,3.3e-03,D+,76196.767,87927.131,,T8608,L4739
Fe,2,852.25627,0.00005,150,6.2e-02,B+,90300.628,102030.965,,T6892c83,L18349c139
Fe,1,852.66684,0.00022,500,1.77e-02,C,39625.804,51350.492,,T5720,L11631
Ti,3,852.703,0.010,6,2.2e-01,D,169615.12,181339.27,,T1216,L3593
Co,2,852.7669,0.0009,130,1.28e-01,C+,85167.645,96890.966,,T6999,L9429c118
Xe,1,853.0100,0.0010,30,7.90e-03,B+,79212.465,90932.432,,T5818,L4739
Co,2,853.39638,0.00016,1100,3.3e-01,C+,85167.645,96882.310,,T6999,L9429c118
V,1,853.4369,0.0004,26000,8.2e-02,C,33155.331,44869.444,,u38,L15916
Co,2,853.853,0.003,61bl,2.9e-01,C+,86940.150,98648.516,,T6999,L9429c118
Ag,2,854.0184,0.0017,390,1.4e-02,D+,125126.4097,136832.527,,T9142,L17886c114
Ag,2,854.10,0.22,220,2.5e-01,C,132920.339,144624.16,,T9142,L647c114
V,1,854.1972,0.0003,47000,1.13e-02,C,21603.259,33306.943,,T9282,L15916
Ca,2,854.209,0.010,170,9.9e-02,C,13710.88,25414.40,,"u7,LS",L7323
La,1,854.346,0.010,17c*,3.4e-02,C+,9960.904,21662.51,,T9460,L3475
Ne,1,854.46952,0.00004,1600,1.22e-02,C+,149824.2215,161524.1739,,T6976,L3451
Ti,3,854.489,0.010,5,1.0e-01,D,169912.11,181611.79,,T1216,L3593
H,1,854.538,0.003,(1400),6.4901e-05,AAA,97492.304,[109191.3154],,T8637,L7400c29
Be,1,854.7366,0.0020,9*,1.74e-02,B,58907.472,70603.76,,u28,L4743
Be,1,854.7366,0.0020,9*,1.31e-02,B,58907.472,70603.76,,u28,
Be,1,854.7366,0.0020,9*,2.35e-02,B,58907.472,70603.76,,u28,
Be,1,854.7659,0.0020,11*,8.73e-04,B,58907.839,70603.76,,u28,L4743
Be,1,854.7659,0.0020,11*,7.84e-03,B,58907.839,70603.76,,u28,L4743
Be,1,854.7659,0.0020,11*,3.14e-02,B,58907.839,70603.73,,u28,L4743
Hg,2,854.8664,0.0003,1000c,2.0e-01,,121960.399,133654.913,,T7226,L11760
Cl,1,855.044,0.010,2200,1.9e-02,D,74225.846,85917.937,,T1277,L298
Fe,2,855.50978,0.00016,50,3.7e-02,E,98294.909,109980.635,,T6892c83,L18349c139
Ba,1,855.9998,0.0010,700,2.0e-01,C+,11395.350,23074.387,,T5037,L9224
Kr,1,856.089,0.010,50,1.07e-02,D+,94092.8626,105770.7014,,"T3600n,T7227,u41",L6099
Fe,3,856.3490,0.0020,710,9.29e-01,B,198737.2,210411.5,,u44,L1171
Ti,3,856.350,0.010,2,4.3e-01,D,170659.72,182333.95,,T1216,L3593
Mn,2,856.5817,0.0006,60,2.5e-01,C,86057.625,97728.727,,c88,L562
Ti,3,856.624,0.010,5,1.2e-01,D,169769.13,181439.64,,T1216,L3593
Br,1,856.6282,0.0020,1000,1.7e-02,D,75521.50,87191.97,,"T6936n,T9382",L351
N,1,856.774,0.010,500,4.86e-02,B+,86137.350,97805.840,,T7370,L3513
Fe,3,856.8419,0.0020,190,3.48e-01,B,198737.2,210404.8,,u44,L1171
Ne,1,857.13535,0.00004,2900,3.15e-02,C+,150772.1118,162435.6780,,T6976,L3451
In,2,857.225,0.015,72,1.1e-02,D+,109780.221,121442.541,,T8104,L3548c126
Cl,1,857.524,0.010,20000,1.2e-01,D,72827.038,84485.309,,T1277LS,L298
Xe,1,857.6010,0.0010,200,5.28e-02,B,77185.041,88842.256,,"T8608n,T6672",L4739
Fe,2,857.7124,0.0005,11bl(Fe II)*,7.0e-03,D+,90042.804,101698.519,,T6892c83,L18349c148
V,2,857.831,0.003,110h,3.0e-02,D,80057.65,91711.733,,T9770,L10089c179
Co,2,858.15349,0.00015,1600,3.5e-01,C+,84586.868,96236.594,,T6999,L9429c118
Fe,1,858.22568,0.00022,710,7.40e-04,C,24118.819,35767.564,,T5720,L11631
Ne,1,858.29031,0.00009,1600,1.04e-02,B,150772.1118,162419.9818,,T8378,L9097
Ti,3,858.405,0.010,6,1.2e-01,D,169912.11,181558.44,,T1216,L3593
Fe,2,858.54403,0.00012,60,3.8e-02,C+,90386.533,102030.965,,T6892c83,L18349c139
Cl,1,858.597,0.010,75000,1.9e-01,D,72488.568,84132.262,,"T1277n,T1619CA,LS",L298
Ne,1,859.12583,0.00004,41000,3.11e-01,B+,150772.1118,162408.6535,,T6976,L3451
Fe,2,859.2831,0.0007,16,1.0e-03,D+,91167.936,102802.353,,T6892c83,L18349c139
N,1,859.400,0.010,570,2.09e-01,B+,86137.350,97770.180,,T7370,L3513
Fe,2,859.45390,0.00017,34,2.4e-04,D,98130.136,109762.239,,T6892c83,L18349c139
Fe,2,859.5230,0.0003,22,1.9e-03,D+,90067.357,101698.519,,T6892c83,L18349c139
Fe,2,859.70361,0.00004,250,1.6e-01,D,98294.909,109923.631,,T6892c83,L18349c139
H,1,859.839,0.003,2300,9.2117e-05,AAA,97492.304,[109119.1917],,T8637,L7400c29
Fe,1,859.88297,0.00022,490,6.69e-03,B,35379.208,47005.506,,T5720,L11631
Co,2,860.27447,0.00024,820,3.2e-01,C+,86346.705,97967.697,,T6999,L9429c118
F,1,860.447,0.003,14,8.5e-04,C,116987.39,128606.09,,T7043,L7481
Ti,3,860.575,0.010,3,2.2e-01,D,170659.72,182276.75,,T1216,L3593
Ar,1,860.5776,0.0010,7,1.04e-02,C,107289.7001,118906.6110,,T1218n,L2634
Cu,2,860.6681,0.0010,690,7.9e-02,B,110366.1542,121981.8546,,T7181,L869c171
Fe,1,861.18034,0.00022,4680,1.27e-02,C+,22946.816,34555.597,,T5720,L11631
W,1,861.327,0.010,50,5.7e-04,D,19826.04,31432.91,,T4976,L153
W,1,861.450,0.010,30,2.6e-04,D,19827.68,31432.91,,T4976,L153
S,1,861.715,0.010,15,1.55e-01,D+,67816.351,79418.01,,T7952,"L7444,L7427"
Ti,3,861.879,0.010,2,5.1e-02,D,169769.13,181368.45,,T1216,L3593
Fe,1,862.16001,0.00022,550,3.89e-04,D+,23783.619,35379.208,,T5720,L11631
La,1,862.422,0.010,7h,3.40e-03,C,7011.909,18603.92,,T9460,L3475
Xe,1,862.4240,0.0010,80,1.06e-02,B+,79212.465,90804.538,,T5818,L4739
V,1,862.4741,0.0005,15000,1.1e-01,C,33155.331,44746.714,,u38,L15916
S,1,862.663,0.010,2,3.81e-02,D+,67816.351,79405.30,,T7952,"L7444,L7427"
Fr,1,862.763,0.004,,4.68e-04,,19739.98,31327.46,,T6898,L12264
N,1,862.924,0.010,650,2.67e-01,B+,86220.510,97805.840,,T7370,L3513
Co,2,863.23471,0.00016,1300,3.4e-01,C+,85481.689,97062.844,,T6999,L9429c118
Ca,3,863.277,0.004,50,7.1e-02,B,279353.64,290934.30,,T7942,L1405
S,1,863.323,0.010,4,1.13e-01,C,67825.188,79405.30,,T7952,"L7444,L7427"
Ne,1,863.46472,0.00004,35000,2.27e-01,B+,150121.5922,161699.6613,,T6976,L3451
Ne,1,863.53177,0.00010,740,7.90e-03,C+,150858.5079,162435.6780,,T6976,L9097
P,1,863.7578,0.0010,180,7.9e-02,D,64239.591,75813.72,,"T1619CA,LS",L5148
La,1,863.847,0.010,15,1.36e-02,C+,8446.044,20018.99,,T9460,L3475
Br,1,863.8660,0.0020,20000,2.2e-01,C+,63436.45,75009.13,,"T6936n,T9382",L351
Al,2,864.0705,0.0010,100,3.00e-01,A+,95350.60,106920.56,,"c47,u24",L4575
Eu,1,864.267,0.010,21cw,4.6e-02,B,19447.19,31014.48,,T7356,"L7586,L3475"
V,1,864.4126,0.0004,11000,1.1e-01,C,32988.845,44554.214,,u38,L15916
V,1,864.704,0.002,450000bl(Ne)*,9.5e-02,C,32846.822,44408.268,,u38,L15916
Ne,1,864.70412,0.00009,6000,3.99e-02,B+,150858.5079,162419.9818,,T8378,L9097
Co,2,864.7738,0.0020,42,4.5e-03,D,97967.697,109528.229,,T6999,L9429c118
V,1,864.8151,0.0005,1400*,1.2e-01,C,32738.130,44298.123,,u38,L15916
Si,1,864.8462,0.0010,50,9.12e-02,C,50054.80,61614.37,,T6066LS',L3521
S,1,864.852,0.010,1,1.39e-03,D,67816.351,79375.80,,T7952,L7444
Xe,1,864.8540,0.0010,250,2.4e-02,D+,77185.041,88744.559,,T8608,L4739
Na,1,864.992,0.002,7,2.25e-03,B+,25739.999,37297.61,,c30,L6096
Co,2,864.995,0.004,16,1.36e-01,C+,85596.170,97153.739,,T6999,L4687c119
Na,1,865.089,0.002,6,2.21e-03,B+,25739.999,37296.32,,c30,L6096
Fe,2,865.1825,0.0003,18,3.5e-03,E,98294.909,109849.987,,T6892c83,L18349c139
Hg,1,865.27,0.04,10,3.1e-03,D,69516.576,81070.96,,T3462,L15167c86
Ba,1,865.4078,0.0010,13,3.1e-03,D+,11395.350,22947.423,,T5037,L9224
Fr,1,865.433,0.004,,4.66e-04,,19739.98,31291.72,,T6898,L12264
Ne,1,865.43828,0.00009,64000,4.06e-01,B+,150858.5079,162410.1736,,T6976,L9097
S,1,865.519,0.010,2,2.16e-02,D+,67825.188,79375.80,,T7952,"L7444,L7427"
Ne,1,865.55220,0.00009,7600,4.81e-02,B,150858.5079,162408.6535,,T6976,L9097
N,1,865.589,0.010,500,1.07e-01,B+,86220.510,97770.180,,T7370,L3513
Hf,1,866.1680,0.0015,280,4.6e-04,D+,14092.2938,25634.2234,,T5346,L16323
Fe,1,866.18994,0.00023,20900,5.16e-03,C+,17927.382,29469.024,,T5720,L11631
Ca,2,866.214,0.010,160,1.06e-01,C,13650.19,25191.51,,"u7,LS",L7323
H,1,866.502,0.003,(2200),1.3431e-04,AAA,97492.304,[109029.7913],,T8637,L7400c29
Fe,2,866.6719,0.0003,21,3.4e-02,E,98445.410,109980.635,,T6892c83,L18349c139
B,1,866.7223,0.0010,4,1.84e-02,B,48611.8663,60146.414,,T7192,L776
Ar,1,866.7944,0.0010,4500,2.43e-02,B,94553.6652,106087.2598,,T5223,L2634
S,1,866.849,0.010,3,1.20e-01,C,67842.867,79375.80,,T7952,"L7444,L7427"
B,1,866.8570,0.0010,8,3.67e-02,B,48613.6486,60146.414,,T7192,L776
Bi,3,866.94,0.06,47,2.0e-01,C,137555.28,149086.7,,T10236,"L3331,L21488"
S,1,867.022,0.010,1,1.10e-01,D+,63446.065,74976.61,,T7952,"L7444,L7427"
Fe,2,867.03973,0.00011,80,1.2e-01,E,98445.410,109975.739,,T6892c83,L18349c139
S,1,867.065,0.010,3,8.23e-02,D+,63446.065,74976.06,,T7952,"L7444,L7427"
Al,2,867.121,0.010,15hfs,5.52e-02,C+,133437.71,144967.1,,"T6298c4,LS",L3515c150
S,1,867.136,0.010,2,3.84e-02,D+,63446.065,74975.19,,T7952,"L7444,L7427"
La,1,867.211,0.010,19hw,3.5e-02,C+,9919.821,21447.86,,T9460,L3475
F,1,867.262,0.003,350,5.61e-03,C+,116987.39,128514.75,,T7043,L7481
Fe,1,867.47459,0.00023,6900,6.17e-03,C,22838.323,34362.873,,T5720,L11631
Ti,1,867.5371,0.0009,550,4.61e-03,B,8602.3441,20126.062,,T8000,L10989
N,2,867.608,0.010,220,2.55e-01,C+,202861.36,214384.13,,T5520LS,L3513
Fe,2,867.85640,0.00004,2000bl(Fe II)*,3.3e-04,D,60445.279,71964.750,,T6892c83,L18349c148
S,1,867.900,0.010,1,2.75e-02,D+,63457.142,74976.06,,T7952,"L7444,L7427"
Ne,1,867.94936,0.00010,13000,1.45e-01,B+,150917.4307,162435.6780,,T6976,L9097
S,1,867.965,0.010,3,6.41e-02,C,63457.142,74975.19,,T7952,"L7444,L7427"
N,1,868.028,0.010,700,2.53e-01,B+,83364.620,94881.820,,T7370,L3513
S,1,868.046,0.010,8,7.34e-02,C,63457.142,74974.10,,T7952,"L7444,L7427"
Ne,1,868.19216,0.00004,15000,1.34e-01,B,150121.5922,161636.6175,,T6976,L3451
C,2,868.2560,0.0020,29,4.15e-02,B,157234.05,168748.26,,T5109LS,L1176
Ti,1,868.2980,0.0009,310,3.59e-03,B,8492.422,20006.039,,T8000,L10989
V,2,868.310,0.003,230h,4.8e-03,D+,44658.000,56171.509,,T9770,L10089c179
N,1,868.340,0.010,650,1.88e-01,B+,83317.830,94830.890,,T7370,L3513
Mn,2,868.3700,0.0006,50,3.1e-01,C,86897.831,98410.512,,c88,L562
N,1,868.615,0.010,500,1.15e-01,B+,83284.070,94793.490,,T7370,L3513
In,2,868.621,0.004,340,4.4e-01,B,109780.221,121289.53,,T8104,L3548c126
Cl,1,868.626,0.010,3500,3.9e-02,D,74225.846,85735.091,,T1277,L298
N,2,868.743,0.010,110,1.16e-02,D,166765.66,178273.38,,T7333,L3513
Fe,1,868.86249,0.00023,8100,7.74e-03,B,17550.181,29056.324,,T4187,L11631
Sr,2,868.891,0.015,2000,5.5e-01,D,56057.9,67563.15,,T4515,L2631
Fe,2,868.9863,0.0003,19bl(Fe I),1.7e-03,D+,92432.098,103936.602,,T6892c83,L18349c148
Xe,1,869.2200,0.0010,100,1.08e-02,B,77185.041,88686.500,,"T8608n,T6672",L4739
Ti,1,869.2329,0.0009,150,2.99e-03,B,8436.618,19937.855,,T8000,L10989
S,1,869.324,0.010,1,7.35e-03,D+,63475.051,74975.19,,T7952,"L7444,L7427"
Al,3,869.398,0.010,4d*,2.69e-03,A,189876.10,201375.20,,c32,L277
Al,3,869.398,0.010,4d*,5.39e-02,A+,189876.42,201375.20,,c32,L277
S,1,869.400,0.010,3,3.68e-02,D+,63475.051,74974.10,,T7952,"L7444,L7427"
S,1,869.471,0.010,10,1.10e-01,C,63475.051,74973.14,,T7952,L7444
Mn,2,869.5215,0.0018,100w,3.7e-01,C,74560.181,86057.625,,c88,L562
C,2,869.6710,0.0020,14,4.12e-02,B,157234.05,168729.51,,T5109LS,L1176
Kr,1,869.750,0.010,40,5.4e-03,D+,92307.3786,103801.7929,,"T3774n,u41",L6099
