element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref
Ti,2,251.08901,0.00019,9,3.61e-03,D+,983.9157,40798.4333,,T7385,L17999
Co,2,251.11597,0.00003,230000,2.1e+00,C+,25147.233,64957.482,,T6999,L9429c118
Fe,2,251.138061,0.000018,6000,4.2e-01,C+,63876.325,103683.078,,T6892c83,L18349c139
Cs,3,251.15566,0.00011,15000,1.73e+00,,133265.831,173069.797,,T8611,L14869
Fe,2,251.16252,0.00015,700,1.2e-01,D+,63948.803,103751.672,,T6892c83,L18349c139
C,2,251.1734,0.0007,250,9.26e-02,A,110665.59,150466.70,,T7194,L1176
Fe,2,251.175999,0.000012,200000,2.30e+00,B,21711.8963,61512.630,,T7158,L18349c139
Fe,2,251.19261,0.00005,6000,1.63e+00,C+,54902.286,94700.415,,T6892c83,L18349c139
V,1,251.19458,0.00009,690000,3.1e-01,C+,137.383,39935.176,,T9399,L15916
Fe,2,251.20370,0.00009,800,2.8e-02,D,64834.069,104630.429,,T6892c83,L18349c139
Co,2,251.20634,0.00003,14000,3.6e-01,D,25861.322,65657.249,,T6999,L9429c118
C,2,251.2065,0.0007,1000,5.62e-01,A,110665.59,150461.58,,T7194,L1176
Ir,2,251.2101,0.0020,1500h,1.6e-01,E,12714.66,52510.06,,T7959,"L4457,L7593"
Cs,3,251.2204,0.0016,10000bl,3.13e-02,,144535.128,184328.767,,T8611,L14869
V,4,251.2242,0.0010,,1.2e+00,,217350.0,257143.2,,T2757,L147
In,2,251.2274,0.0009,96,1.7e-02,D+,107841.992,147634.61,,T9131,L3548c121
Fe,1,251.22753,0.00002,540,2.19e-02,C+,6928.268,46720.842,,T5720,L11631
Fe,2,251.23423,0.00015,600,3.5e-02,D+,65363.607,105155.093,,T6892c83,L18349c139
Fe,1,251.23647,0.00002,3090,2.00e-02,B+,415.933,40207.091,,T5720,L11631
Fe,2,251.237315,0.000016,18000,3.3e-01,D+,45079.9019,84870.911,,T6892c83,L18349c145
Co,2,251.2390,,4200bl(Co I):,1.0e-01,D,24074.420,63865.170,,T6999,L9429c119
Co,2,251.25059,0.00006,260,4.7e-02,D,45378.754,85167.645,,T6999,L9429c118
Fe,2,251.252212,0.000016,21000,1.26e+00,C+,36126.412,75915.080,,T6892c83,L18349c139
Ir,2,251.2580,0.0010,1500h,2.29e-01,B,4787.92,44575.70,,T7750,"L8724,L4457,L7593,L3475"
Fe,2,251.28014,0.00007,900,8.e-02,D+,64425.405,104209.618,,T6892c83,L18349c148
V,2,251.2812,0.0008,960h,4.7e-02,D+,38517.085,78301.06,,T9770,L8201c179
Fe,2,251.31507,0.00002,12000,2.5e-01,C+,38458.9934,78237.709,,T7466,L18349c139
Fe,2,251.34019,0.00011,2400,1.2e-02,D,25805.3270,65580.065,,T6892c83,L18349c139
Co,2,251.34236,0.00011,120,4.2e-02,D,67939.370,107713.738,,T6999,L9429c118
Fe,2,251.34720,0.00018,400,2.1e-02,D,64040.891,103814.552,,T6892c83,L18349c139
Hg,2,251.3493,0.0003,12,2.7e-03,,106086.013,145859.294,,T7226,L11760
Cr,1,251.36209,0.00003,12,1.1e-01,C,8095.1842,47866.4604,,T3196,L14866
Tm,1,251.3778,0.0005,900D,5.3e-02,B+,0.000,39768.79,,T6708,"L2006,L3475"
Pt,2,251.38882,0.00006,6300,1.78e-01,C+,16820.9342,56587.977,,T8261,L10146
Fe,2,251.4022,0.0003,1200,9.e-03,D,45079.9019,84844.866,,T6892c83,L18349c139
In,2,251.4082,0.0013,28,8.e-03,E,109780.221,149544.20,,T9131,L3548c121
Fe,2,251.40822,0.00011,1000,1.8e-01,D+,64425.405,104189.382,,T6892c83,L18349c139
Mn,2,251.4200,0.0006,100,1.08e+00,C,48436.05,88198.16,,c88,L562
Si,1,251.432,0.010,375,7.39e-01,B,0.000,39760.285,,T5814,L3521
W,2,251.4364,0.0010,7d,9.28e-03,B,7420.261,47179.941,,T7162,L6520
Fe,2,251.438297,0.000012,80000,2.11e+00,B+,30764.4737,70523.694,,T6892c83,L18349c139
Fe,2,251.44071,0.00004,7000,2.2e-01,D+,45289.8248,85048.655,,T6892c83,L18349c139
Co,2,251.45392,0.00005,330,4.2e-02,D,68843.428,108600.173,,T6999,L9429c118
V,2,251.46372,0.00007,18000,1.13e-01,C,9097.8891,48853.0973,,T9770,L18516
Cs,3,251.4642,0.0004,3500h,1.07e-01,,148575.860,188330.992,,T8611,L14869
Hg,2,251.4762,0.0002,5000,3.6e-01,,106215.059,145968.295,,T7226,L11760
Fe,2,251.49065,0.00004,7000,8.e-02,D+,25805.3270,65556.271,,T6892c83,L18349c139
Fe,2,251.49332,0.00003,8000,1.3e-01,D+,22939.3512,62689.874,,T6892c83,L18349c139
