element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(10^8 s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type,tp_ref,line_ref
Cs,3,251.5790,0.0002,2200p,1.03e-02,,17.9270935,22.8538544,6,8,,T8611,L14869
Fe,1,251.58536,0.00009,42,1.22e-02,C,1.55735733,6.48399171,7,5,,T5720,L11631
Fe,2,251.59055,0.00002,4000,8.4e-01,C+,8.0384001,12.9649317,4,6,,T6892c83,L18349c139
Fe,2,251.59335,0.00004,6000,2.9e-01,D+,4.84893721,9.7754140,2,2,,T6892c83,L18349c148
Ti,3,251.6053,0.0010,25,3.4e+00,D,4.764216,9.690433,7,9,,T1216,"L3593,L11926"
Fe,2,251.6057,0.0005,"240d,bl(Fe II)?*",1.1e-02,D,6.21873433,11.1449887,10,8,,T6892c83,L18349c142
Si,1,251.6113,0.0010,500,1.68e+00,B,0.0276679,4.9537952,5,5,,T5814,L3521
V,3,251.614,0.010,500,3.7e+00,D,7.848587,12.774668,10,10,,T3396n,L4746
Co,2,251.62485,0.00012,130,6.e-02,D,8.3328860,13.2587471,5,7,,T6999,L9429c118
Fe,1,251.62504,0.00020,115bl,3.73e-03,C,0.91460217,5.84045966,9,9,,T5720,L11631
Co,2,251.65538,0.00018,860,1.2e-02,E,3.40762796,8.3328860,7,5,,T6999,L9429c118
Fe,1,251.65707,0.00002,650,1.71e-02,C,0.95815732,5.88338708,7,9,,T5720,L11631
Mn,2,251.6599,0.0006,200,8.7e-02,B+,3.418399,8.3435719,11,9,,T7259,L562
Mn,2,251.6742,0.0006,300,1.0e+00,D,3.818225,8.7431251,9,7,,c88,L562
Co,2,251.69572,0.00019,200,1.1e-01,D,6.53206212,11.4565367,3,3,,T6999,L9429c118
Fe,2,251.713092,0.000012,50000,9.e-01,D+,2.77846330,7.7025932,2,4,,T6892c83,L18349c145
V,1,251.71486,0.00009,690000,1.42e-01,C+,0.04010046,4.9641996,8,10,,T9399,L15916
O,4,251.72,0.10,200,1.24e+00,B,54.45769,59.38135,6,4,,T5109LS,L648
Fe,2,251.72203,0.00005,6000bl(Fe II)*,5.8e-02,D+,3.22131344,8.1452725,8,10,,T6892c83,L18349c148
Fe,2,251.73332,0.00015,1600,2.0e-02,D,4.83702231,9.7607579,4,4,,T6892c83,L18349c139
Co,2,251.7348,0.0010,4700,2.2e-02,D,3.48542792,8.40915250,5,3,,T6999,L4687c119
Mn,2,251.738,0.002,60,1.90e-02,B,3.419929,8.3435719,9,9,,T7259,L562
Ti,2,251.743134,0.000013,160,5.01e-02,B+,0.13481497,5.05836105,8,8,,T7385,u37
Co,2,251.74364,0.00003,8300,4.6e-01,D,3.13897205,8.06250794,3,3,,T6999,L9429c118
Fe,1,251.76609,0.00002,1550,1.58e-01,B,0.99011115,5.91320801,5,7,,T5720,L11631
Mn,2,251.767,0.002,20,1.0e-03,D,3.420542,8.3435719,7,9,,T7259,L562
Fe,2,251.79705,0.00006,4000,4.2e-01,D+,6.22249688,11.1449887,8,8,,T6892c83,L18349c139
O,2,251.7974,0.0010,12,7.72e-02,D,26.2254001,31.147904,4,6,,T5723LS,L10621
Fe,1,251.81015,0.00002,5100,1.93e+00,B,0.08728574,5.00952178,5,3,,T5720,L11631
W,2,251.81422,0.00010,53,1.79e-01,B,1.31330076,6.23545720,4,6,,T7162,L11762
Co,2,251.81733,0.00009,1300bl(Co II),4.1e-02,D,3.13897205,8.06107009,3,5,,T6999,L9429c118
Co,2,251.81797,0.00004,920bl(Co II),2.3e-01,D,6.47566059,11.3977420,5,5,,T6999,L9429c118
Mn,2,251.818,0.002,100*,2.3e+00,C,6.494761,11.416848,9,7,,c88,L562
Ar,3,251.826,0.004,2,3.4e-02,E,23.1426661,28.06469227,7,5,,"T1619CA,LS",L7491
Co,2,251.83671,0.00010,150,3.7e-02,D,9.0079637,13.9296828,5,5,,T6999,L9429c118
Fe,2,251.85346,0.00002,2100,5.4e-01,C+,8.7179023,13.6392921,10,10,,T6892c83,L18349c139
Fe,2,251.90043,0.00020,400,6.3e-02,D+,8.2477153,13.1681849,6,6,,T6892c83,L18349c139
Ti,1,251.9025,0.0003,10,5.9e-02,C,0.00000000,4.9204324,5,5,,T3499n,L10989
Fe,2,251.904690,0.000012,100000,2.10e+00,C+,3.38661825,8.3070070,8,6,,T6892c83,L18349c139
Fe,2,251.90731,0.00007,7000,4.3e-02,D+,2.80665448,7.7269984,10,8,,T6892c83,L18349c145
Si,1,251.9202,0.0010,350,5.49e-01,B,0.0095610,4.9296471,3,3,,T5814,L3521
B,2,251.9257,0.0010,53*,1.5e-01,C,18.678180,23.598146,3,5,,"u27,LS",L12120
B,2,251.9257,0.0010,53*,1.6e-01,C,18.678180,23.598146,5,7,,"u27,LS",L12120
B,2,251.9257,0.0010,53*,1.83e-01,C,18.678180,23.598146,7,9,,"u27,LS",L12120
Mn,2,251.9312,0.0006,30,2.4e+00,D,6.494219,11.414096?,5,3,,c88,L562
Fe,2,251.94077,0.00004,7000,1.3e-01,D+,3.33923354,8.2589171,2,4,,T6892c83,L18349c139
Fe,2,251.96033,0.00004,7000,2.2e-01,D+,4.14931647,9.0686191,10,8,,T6892c83,L18349c139
V,1,251.96233,0.00009,920000,4.3e-01,C+,0.04010046,4.9593637,8,6,,T9399,L15916
Fe,1,251.96292,0.00002,1700,1.34e-01,C+,1.01105568,5.93030716,3,5,,T5720,L11631
V,4,251.9803,0.0010,20,1.1e+00,,26.91796,31.83689,5,3,,T2757,L147
Ti,2,251.98049,0.00005,12,4.61e-03,C',0.11257359,5.03148088,4,6,,T7385,u37
Co,2,251.98227,0.00003,47000,1.09e+00,B+,1.32766384,6.24653767,7,7,,T6854,L9429c118
Fe,2,251.98485,0.00008,1200,2.2e-01,D+,8.0384001,12.9572238,4,6,,T6892c83,L18349c139
Mn,2,252.0102,0.0006,80,1.1e+00,D,6.1282130,11.046563,9,9,,c88,L562
Fe,3,252.0162,0.0013,1100,2.1e-02,D,10.310749,15.228939,9,7,,T6105,L3495
N,2,252.022,0.010,110,1.26e-01,C+,21.148308,26.066417,1,3,,T5520LS,L3513
Mn,2,252.0252,0.0006,60,2.1e+00,D,6.4934578,11.411498,7,5,,c88,L562
Fe,2,252.02624,0.00003,11000,2.6e-01,D+,4.81789820,9.7359140,6,6,,T6892c83,L18349c139
Co,2,252.02732,0.00011,120,6.e-02,D,8.78515492,13.70315206,3,5,,T6999,L9429c118
Fe,2,252.03982,0.00016,600,5.0e-02,D+,8.1279417,13.0456930,10,8,,T6892c83,L18349c139
Mn,2,252.0518,0.0006,100,1.0e+00,D,5.992538,10.910053,11,11,,c88,L562
Fe,2,252.05375,0.00011,2000,4.9e-02,D+,4.49479059,9.4122703,6,6,,T6892c83,L18349c139
