element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(10^8 s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type,tp_ref,line_ref
Sc,1,534.97115,0.00023,5g,4.01e-03,B+,0.0208711,2.3378131,6,4,,T9506,"L19272,L4189c12"
Fe,1,534.97373,0.00009,479,1.4e-02,D,4.38646275,6.70339390,11,9,,T2578n,L11631
Sc,1,535.0278,0.0014,5,6.8e-02,B+,1.9690809,4.2857841,8,8,,T5448,L4189c12
Tl,1,535.046,0.010,18000,7.05e-01,B,0.96617,3.28279,4,2,,T4515,L3475
Ca,3,535.0730,0.0016,41,5.6e-01,B,42.540248,44.856749,1,3,,u33,L1405
Fe,3,535.078,0.003,220*,5.9e-01,D+,22.625444,24.941932,3,1,,u44,L1171
Fe,3,535.078,0.003,220*,1.8e-01,C,22.624733,24.941204,5,5,,u44,L1171
Ti,1,535.1067,0.0003,160,3.4e-01,D,2.7778336,5.0941889,7,7,,T4401n,L10989
Co,2,535.13902,0.00023,250,2.7e-01,C+,11.32309646,13.6393135,11,13,,T6999,L9429c118
Eu,1,535.169,0.010,75h,1.38e-01,B+,1.911991,4.228082,8,8,,T7356,"L7586,L3475"
Fe,2,535.19322,0.00014,120,3.0e-02,D+,10.4996322,12.8156139,8,6,,T6892c83,L18349c139
Co,1,535.205,0.010,50,2.7e-01,B,3.576351,5.892283,12,10,,T4223,L3475
Fe,3,535.2134,0.0020,47,8.4e-02,C,24.837225,27.153118,9,9,,u44,L1171
V,4,535.2320,0.0010,60,8.4e-01,D,29.35535,31.67121,7,7,,T2757,"L147,L11926"
Mo,1,535.2348,0.0010,20,1.15e-02,B,3.7335549,6.0493557,13,15,,T5293,"L10250,L3475"
Pr,2,535.240,0.010,200,3.9e-02,B+,0.482728,2.798507,13,11,,T8137,L3475
Fe,3,535.2656,0.0020,140,1.28e-01,C+,22.275198,24.590873,7,9,,u44,L1171
Eu,1,535.284,0.010,40,3.79e-01,B+,2.224957,4.540549,4,4,,T7356,"L7586,L3475"
Fe,2,535.30733,0.00011,160bl(Fe II)*,3.4e-02,D+,10.4477261,12.7632131,8,8,,T6892c83,L18349c148
V,4,535.3090,0.0010,25,7.4e-01,D,29.27869,31.59416,3,3,,T2757,L147
Fe,2,535.32538,0.00016,110,7.6e-02,C+,10.5027943,12.8182037,8,8,,T6892c83,L18349c139
Ce,2,535.353,0.010,450,2.88e-01,B+,0.8793288,3.1946209,12,10,,T8629,L3475
Fe,3,535.3768,0.0020,2300,1.0e-02,D,23.184899,25.500088,9,9,,u44,L1171
Ca,3,535.4237,0.0016,41,7.4e-01,B,42.984372,45.299348,1,3,,u33,L1405
W,1,535.4446,0.0010,50,1.0e-03,C,1.181329,3.496218,1,3,,T4976,L153
Ta,1,535.4679,0.0010,65,6.5e-03,B,0.752449,3.067249,4,4,,T4976,"L7593,L3475"
Mo,1,535.4879,0.0010,80,3.21e-02,B+,2.9156714,5.2303773,9,9,,T5293,"L10250,L3475"
Ne,1,535.51640,0.00030,1500,3.35e-03,C+,18.70407118,21.01865519,5,7,,T6976,L4498
Cu,2,535.5186,0.0003,410,7.4e-02,D+,16.86623170,19.1808049,7,9,,T9697,L869c171
Ne,1,535.53394,0.00030,50,1.18e-03,C,18.70407118,21.01857880,5,5,,T6976,L4498
Fe,2,535.54209,0.00006,320bl(Ne),7.4e-02,C+,10.4996322,12.8141045,8,10,,T6892c83,L18349c148
Mo,1,535.5516,0.0010,35,1.21e-01,B,3.9827603,6.2971898,9,9,,T5293,"L10250,L3475"
Sc,1,535.5793,0.0014,5,3.0e-01,B+,1.9535607,4.2678869,6,4,,T5448,L4189c12
Sc,1,535.6097,0.0014,5,5.7e-01,C+,1.8649582,4.1791396,8,6,,T5448,L4189c12
Mo,1,535.6460,0.0010,65,2.11e-01,B,4.0433525,6.3573754,11,11,,T5293,"L10250,L3475"
Nd,2,535.6976,0.0010,180,7.5e-02,B,1.2639947,3.5777990,18,16,,T7685,"L3260,L3475"
W,1,535.7094,0.0010,40,8.4e-04,C,1.916797,4.230549,7,9,,T4976,L153
Sc,2,535.7202,0.0010,12,6.0e-03,C+,1.506956,3.820660,5,3,,T5448,L5141
Fe,3,535.752,0.003,140s,1.4e-01,C,22.277113,24.590675,5,7,,u44,L1171
Eu,1,535.761,0.010,540*,2.33e-01,B+,1.668481,3.982013,12,14,,T7356,"L7586,L3475"
La,1,535.786,0.010,110*,2.47e-01,B+,0.9521911,3.265611,6,6,,T9460,L3475
Tm,1,535.8782,0.0005,13,2.36e-03,B,2.3545103,4.6675322,12,14,,T6708,L2006
Fe,2,535.88719,0.00005,400,7.1e-02,C+,10.4996322,12.8126137,8,8,,T6892c83,L18349c139
Fe,2,535.92474,0.00010,190,8.2e-02,C+,10.5027943,12.8156139,8,6,,T6892c83,L18349c139
K,1,535.9574,0.0010,14,4.86e-03,A,1.6171130092,3.9297908,4,6,,T9168,L6096
V,1,536.0260,0.0005,18000,2.8e-03,C,1.94955593,4.2619410,8,8,,T9399,L15916
Fe,3,536.026,0.003,88l,1.1e-01,D+,22.277863,24.590246,3,5,,u44,L1171
Ne,1,536.04271,0.00030,350,1.89e-03,C,18.70407118,21.01638327,5,5,,T6976,L4498
Fe,2,536.04795,0.00007,250,1.01e-01,C+,10.5446893,12.8569773,4,6,,T6892c83,L18349c139
Mo,1,536.0513,0.0010,560hl,6.2e-01,B,3.2633162,5.5755891,9,11,,T5293,"L10250,L3475"
Co,2,536.0623,0.0004,130,1.8e-01,C+,11.51681991,13.82904611,9,11,,T6999,L9429c118
Eu,1,536.083,0.010,60*,2.02e-01,C+,1.876838,4.188998,4,6,,T7356,"L7586,L3475"
Ba,2,536.135,0.010,,4.0e-02,C+,5.6970085,8.008924,4,6,,"T3225,T7387",L6094
Eu,1,536.161,0.010,120,2.97e-01,B+,1.993636,4.305452,12,10,,T7356,"L7586,L3475"
Fe,1,536.16248,0.00023,339,1.8e-02,E,4.41527878,6.72707289,7,5,,T2578n,L11631
Ti,1,536.1712,0.0003,18,2.3e-04,D,0.83599520,3.1477519,9,9,,"T3430,T3297",L10989
Cu,2,536.1907,0.0004,150*,9.e-02,D+,17.12600360,19.4376760,7,9,,T9697,"L869c171,c172"
Ne,1,536.22334,0.00030,250,6.9e-04,C,18.70407118,21.01560547,5,7,,T6976,L4498
Ac,2,536.2610,0.0009,1400,5.2e-02,C+,1.6411067,3.9524742,5,5,,T10463,L7344
S,2,536.2703,0.0010,10,8.1e-02,E,16.523210,18.834542,2,4,,"T1619CA,LS",L5883
Fe,2,536.27509,0.00003,700,1.50e-01,B+,10.5027943,12.8141045,8,10,,T6892c83,L18349c145
Ag,2,536.27877,0.00014,1600,2.2e-01,C,15.71703894,18.0283315,5,7,,T9142,L11881c113
Fe,2,536.29698,0.00003,800,1.44e-01,B+,10.4996322,12.8108465,8,10,,T6892c83,L18349c139
Fe,3,536.3353,0.0020,690,4.55e-01,B,23.098700,25.409739,7,5,,u44,L1171
Fe,3,536.376,0.003,2300*,4.26e-01,B,23.117362,25.428243,11,9,,u44,L1171
Fe,3,536.376,0.003,2300*,4.9e-01,C+,23.094394,25.405265,5,3,,u44,L1171
Br,1,536.4190,0.0008,300,2.9e-04,E,8.329702,10.640390,4,6,,T1857n,L351
Mo,1,536.4276,0.0010,110hl,2.26e-01,B,3.2633162,5.5739674,9,9,,T5293,"L10250,L3475"
Ir,1,536.432,0.010,35,1.2e-02,D,2.429253,4.739885,12,10,,"T7959,T4422",L3475
Fe,1,536.48709,0.00009,10000,5.59e-01,C+,4.44562726,6.75602283,5,7,,T5720,L11631
Fe,1,536.53987,0.00009,8700,2.46e-02,B,3.57321890,5.88338708,11,9,,T5720,L11631
La,1,536.589,0.010,21,6.3e-02,B,0.8693659,3.179327,6,4,,T9460,L3475
Fe,2,536.62087,0.00004,700,1.84e-01,B+,10.5027943,12.8126137,8,8,,T6892c83,L18349c139
Ne,1,536.62169,0.00030,250,8.7e-04,C,18.70407118,21.01388581,5,3,,T6976,L4498
Ti,1,536.6637,0.0003,50,8.64e-04,C+,0.8181426,3.1277769,5,7,,T4498,L10989
Fe,2,536.6877,0.0003,60,8.e-02,D+,10.5446893,12.8542212,4,2,,T6892c83,L18349c139
Mo,1,536.7076,0.0010,35hl,5.6e-02,B,3.2633162,5.5727619,9,7,,T5293,"L10250,L3475"
Ti,3,536.717,0.010,7,6.4e-02,D,18.523676,20.833083,3,5,,T1216,L3593
Fe,1,536.7466,0.0006,14800bl,7.13e-01,B,4.41527878,6.72455738,7,9,,T5720,L11631
C,2,536.767,0.004,6h,3.2e-02,C,25.989855,28.299002,6,8,,T10528,L1176
Fe,3,536.8059,0.0020,1300,4.51e-01,B,23.108058,25.417083,9,7,,u44,L1171
C,2,536.858,0.004,6wh*,3.11e-03,B,20.844740,23.15359,4,4,,T5109LS,L1176
C,2,536.858,0.004,6wh*,2.80e-02,B,20.844765,23.15359,6,4,,T5109LS,L1176
C,2,536.858,0.004,6wh*,3.11e-02,B,20.844740,23.15347,4,2,,T5109LS,L1176
Co,2,536.85895,0.00006,450,2.4e-01,C+,11.45107890,13.75987384,11,13,,T6999,L9429c118
Fe,2,536.8911,0.0003,70,2.2e-02,D+,10.4477261,12.7563835,8,8,,T6892c83,L18349c139
Pt,1,536.8983,0.0003,960,4.6e-03,C,1.92198251,4.2306068,5,7,,"T4200n,T3313",L6581
Co,1,536.958,0.010,35,8.6e-03,C+,1.740277,4.048642,4,6,,T4223,L3475
S,3,536.9618,0.0010,1w,4.60e-01,B+,20.350887,22.659239,3,1,,T7942c84,L11011
Ac,1,536.9630,0.0013,220,1.68e-01,B,1.720602,4.0289507,6,6,,T10463,L7344
Co,2,536.98704,0.00007,800p,3.0e-02,D,11.44589487,13.75413882,5,7,,T6999,L9429c118
Fe,1,536.99615,0.00009,20400,7.22e-01,B+,4.37135106,6.67955657,9,11,,T5720,L11631
Fe,2,537.02772,0.00007,220,6.3e-02,C+,10.4477261,12.7557949,8,10,,T6892c83,L18349c139
Fe,2,537.03163,0.00011,220,3.9e-02,D+,10.5027943,12.8108465,8,10,,T6892c83,L18349c139
Br,1,537.0340,0.0008,300,5.e-04,E,8.329702,10.637744,4,2,,T1857n,L351
Fe,2,537.04338,0.00012,170,4.9e-02,D+,10.4552114,12.7632131,6,8,,T6892c83,L18349c139
Fe,2,537.12772,0.00007,210,7.8e-02,C+,10.5446893,12.8523307,4,6,,T6892c83,L18349c139
Fe,1,537.14893,0.00009,389000,1.05e-02,A,0.95815732,3.26570610,7,5,,T3548,L11631
Nd,2,537.1935,0.0010,150,1.15e-01,B,1.4124515,3.7198124,20,20,,T7685,"L3260,L3475"
Xe,2,537.239,0.010,300,7.1e-01,,11.786481,14.093642,4,2,,T8043,L6925
Mo,1,537.2392,0.0010,35,2.02e-02,A,2.8362553,5.1434163,5,5,,T5293,"L10250,L3475"
Fe,3,537.2412,0.0020,440,5.9e-02,C,22.283121,24.590272,13,13,,u44,L1171
V,1,537.2627,,:,5.2e-05,C+,0.30063800,2.60769803,10,8,,T9399,L18972
V,1,537.36699,,:,1.5e-03,C,1.95532863,4.2619410,10,8,,T9399,L18972
Fe,1,537.37082,0.00009,1170,3.7e-02,D,4.47327202,6.77986785,7,9,,T2578n,L11631
Hf,1,537.3863,0.0007,4700,2.9e-03,C,0.29219054,2.59872396,7,9,,T5346,"L21976,L16323"
O,2,537.4351,0.0010,6,4.15e-04,C,22.9793029,25.2856211,4,2,,T6172,L10621
Ne,1,537.49750,0.00010,500,6.44e-03,C+,18.71137667,21.01742872,1,3,,T6976,L7292
Cu,2,537.5276,0.0004,290,8.1e-02,D+,17.13174967,19.4376729,5,7,,T9697,L869c171
Sc,1,537.5373,0.0014,5,3.4e-01,B,1.9690809,4.2749739,8,6,,T5448,L4189c12
Ca,3,537.5470,0.0016,41,7.4e-02,B,40.047337,42.353183,3,5,,u33,L1405
Fe,3,537.547,0.003,1800l,5.29e-01,B,23.135140,25.440980,13,11,,u44,L1171
Fe,2,537.58423,0.00005,500bl(Fe II)*,1.15e-01,C+,10.5446893,12.8503740,4,4,,T6892c83,L18349c148
Fe,2,537.58423,0.00005,500bl(Fe II)*,9.1e-02,C+,10.4514812,12.7571589,12,12,,T6892c83,L18349c148
Fe,1,537.6833,0.0004,132,4.0e-03,E,4.29441489,6.59967157,5,3,,T2578n,L11631
O,2,537.7568,0.0010,5,9.68e-04,E,29.0622429,31.367183,4,4,,T5723LS,L10621
Cd,2,537.81351,0.00010,1000,1.82e+00,B+,11.139209,13.443908,6,8,,T7716,"L3486,L3540"
P,2,537.820,0.010,250,1.1e-01,D,13.055830,15.360503,3,5,,"T1619CA,LS",L3986
Fe,3,537.8212,0.0020,310,5.1e-02,D+,22.285965,24.590630,11,11,,u44,L1171
Fe,3,537.912,0.005,310,2.6e-02,D+,22.285965,24.590272,11,13,,u44,L1171
Sr,2,537.913,0.010,,2.2e-01,D,6.95029,9.254565,4,6,,T4515,L3450
Fe,2,537.9251,0.0003,80,2.4e-02,D+,10.4477261,12.7519476,8,10,,T6892c83,L18349c139
O,2,537.9352,0.0010,7,9.67e-03,D,29.0622429,31.366419,4,2,,T5723LS,L10621
Fe,1,537.95737,0.00009,1860,6.41e-03,B,3.69459719,5.99867825,9,11,,T5720,L11631
La,1,538.001,0.010,21,6.5e-02,B+,1.2349947,3.538891,8,8,,T9460,L3475
C,1,538.03308,0.00003,120000,1.86e-02,B,7.68476777,9.98852478,3,3,,T6070,L12175c183
Fe,3,538.0441,0.0020,140,4.3e-02,D+,22.287164,24.590873,9,9,,u44,L1171
Y,1,538.06294,0.00010,75,3.20e-01,B+,1.90027370,4.20390258,6,4,,T4373,"L7610,L3475"
Cs,3,538.0792,0.0004,60000,2.70e-02,,17.6141539,19.9177135,6,4,,T8611,L14869
La,2,538.099,0.010,140,5.7e-02,C+,0.916810,3.220287,1,3,,T7455,L3475
Fe,3,538.100,0.003,56p,4.0e-02,D+,22.287164,24.590630,9,11,,u44,L1171
S,1,538.102,0.010,2,1.23e-02,D,7.8699033,10.173367,7,9,,T7952,L7427
Ti,2,538.10212,0.00006,92,4.60e-03,C+,1.56577729,3.86923825,4,6,,T7385,u37
Fe,3,538.121,0.006,210p*,4.8e-02,D+,22.287501,24.590873,7,9,,u44,L1171
Fe,3,538.121,0.006,210p*,3.0e-02,D+,22.287355,24.590675,5,7,,u44,L1171
Y,1,538.1244,0.0010,2,9.7e-03,C,1.90053704,4.20390258,4,4,,T4373,L7610
Fe,3,538.1696,0.0020,56,4.7e-02,D+,22.287501,24.590675,7,7,,u44,L1171
O,2,538.1772,0.0010,1,7.55e-05,C,26.5536859,28.8568239,2,4,,T6172,L10621
Cd,2,538.1887,0.0010,200,1.21e-01,B+,11.139209,13.442301,6,6,,T7716,L3540
Cu,2,538.19479,0.00023,430*,8.2e-02,D+,16.87831334,19.1813776,9,11,,T9697,"L869c171,c172"
Fe,3,538.2356,0.0020,140,1.5e-01,C,22.287355,24.590246,5,5,,u44,L1171
Co,2,538.26155,0.00018,97,1.9e-01,C+,11.45107890,13.75385763,11,13,,T6999,L9429c118
Ne,1,538.32457,0.00030,250,1.80e-03,C,18.71137667,21.01388581,1,3,,T6976,L4498
Fe,1,538.33688,0.00009,30900,7.81e-01,B+,4.31247059,6.61492758,11,13,,T5720,L11631
Co,2,538.4353,0.0005,110,7.0e-02,C+,11.45107890,13.75311298,11,11,,T6999,L9429c118
Ti,1,538.4629,0.0003,26,4.0e-04,D,0.82585949,3.1277769,7,7,,T3297,L10989
Sr,2,538.545,0.010,,3.7e-02,D,6.95029,9.251862,4,4,,T4515,L3450
Fe,1,538.5575,0.0004,100,3.1e-04,E,3.69459719,5.99610917,9,9,,T2578n,L11631
Fe,1,538.63337,0.00023,263,8.4e-03,E,4.15435379,6.45554341,7,5,,T2578n,L11631
Cu,2,538.6435,0.0004,420*,1.0e-01,D+,17.13707861,19.4382247,9,11,,T9697,"L869c171,c172"
Tm,1,538.6736,0.0005,26,3.29e-03,B+,2.3176458,4.618663,16,18,,T6708,L2006
P,2,538.688,0.010,300,2.3e-01,D,10.754880,13.055830,3,3,,"T1619CA,LS",L3986
Fe,2,538.70633,0.00003,4000,5.2e-01,B+,10.5217184,12.8225962,12,14,,T6892c83,L18349c139
Fe,1,538.7480,0.0004,200,3.03e-03,C+,4.14264893,6.44334733,7,7,,T6110,L11631
Fe,2,538.80268,0.00011,190,4.6e-02,C+,10.4514812,12.7519476,12,10,,T6892c83,L18349c139
Y,1,538.83878,0.00010,5,1.12e-02,C+,1.91884554,4.21915772,6,8,,T4373,L7610
Al,2,538.848,0.010,2,1.43e-02,C+,15.0475561,17.347743,1,3,,T6533,L3471
Mo,1,538.8665,0.0010,26,1.11e-01,B,3.8806900,6.1808831,5,5,,T5293,"L10250,L3475"
Fe,2,538.90321,0.00019,100,1.9e-02,D+,10.6000744,12.9001119,6,6,,T6892c83,L18349c139
Ti,1,538.9164,0.0003,61*,3.3e-03,D,0.8129437,3.1129222,3,5,,"T3430,T3297",L10989
Hf,1,538.9336,0.0007,1500,1.27e-02,C+,1.11384493,3.41375455,5,3,,T5346,L16323
Fe,2,539.0201,0.0002,90,3.1e-02,D+,10.5226519,12.8221898,6,4,,T6892c83,L18349c139
Fe,2,539.0363,0.0005,50,3.2e-02,D+,10.5194227,12.8188939,6,4,,T6892c83,L18349c139
Rh,1,539.044,0.010,95,1.0e-02,D+,1.278700,3.578139,4,6,,T5181,L3475
Tm,1,539.0460,0.0005,40,4.0e-03,B,2.4135586,4.7129859,14,14,,T6708,L2006
Pt,1,539.0778,0.0003,1100,6.e-01,E,4.2306068,6.5299001,7,5,,T686,L6581
Y,1,539.08129,0.00010,11,2.9e-02,C+,1.94810445,4.24738211,8,6,,T4373,L7610
Sc,1,539.0912,0.0014,2,5.0e-03,C+,1.9865643,4.2857841,6,8,,T5448,L4189c12
W,1,539.1070,0.0010,30,8.9e-05,C,0.771099,3.070269,9,9,,T4976,L153
Fe,2,539.12460,0.00018,90bl(Fe I),4.4e-03,D+,10.4514812,12.7505746,12,14,,T6892c83,L18349c148
Ba,2,539.160,0.010,,4.2e-02,C+,5.7224717,8.021416,6,8,,"T3225,T7387",L6094
Fe,2,539.1978,0.0004,60,2.5e-02,D+,10.5194227,12.8182037,6,8,,T6892c83,L18349c139
Sc,1,539.2058,0.0014,5,4.2e-01,B+,1.9870393,4.2857841,10,8,,T5448,L4189c12
Cl,2,539.212,0.010,15000,1.0e+00,D,16.002264,18.300981,5,7,,T8043,L1617
Ag,2,539.24686,0.00017,1500,7.9e-01,C,15.71751387,18.0160854,3,5,,T9142,L11881c113
Fe,3,539.2593,0.0020,47,6.7e-02,D+,24.844508,27.143031,7,7,,u44,L1171
O,2,539.2611,0.0010,10,8.64e-03,D,29.0686699,31.367183,6,4,,T5723LS,L10621
Eu,1,539.294,0.010,120,2.21e-01,C+,1.890605,4.188998,6,6,,T7356,"L7586,L3475"
Fe,1,539.31673,0.00009,16600,4.91e-02,B,3.24096914,5.53924278,7,9,,T5783,L11631
B,2,539.317,0.010,30,6.07e-02,C,21.150629,23.448881,3,3,,u27,L12120
Co,2,539.3203,0.0006,44,1.1e-02,D,11.45688372,13.7551436,7,9,,T6999,L9429c118
Ce,2,539.340,0.010,300,1.99e-01,B+,1.1030538,3.4012315,12,10,,T8629,L3475
Fe,2,539.3578,0.0003,90,2.5e-02,D+,10.5226519,12.8207506,6,6,,T6892c83,L18349c139
Fe,2,539.38401,0.00004,700,1.08e-01,C+,10.4514812,12.7494678,12,12,,T6892c83,L18349c139
Mo,1,539.4506,0.0010,65,2.36e-02,B+,2.5950420,4.8927447,3,5,,T5293,"L10250,L3475"
Mn,1,539.467,0.010,95,9.00e-05,C+,0.000000,2.297631,6,8,,T4649,L3475
Fe,1,539.5218,0.0004,129,5.4e-03,E,4.44562726,6.74302768,5,3,,T2578n,L11631
Ti,3,539.569,0.010,10,1.9e-01,D,16.209672,18.506872,3,5,,T1216,L3593
Fe,2,539.58546,0.00003,3100,5.5e-01,B+,10.6000744,12.8972034,6,8,,T6892c83,L18349c139
Ta,1,539.5986,0.0010,40,2.5e-03,C,1.147279,3.444358,6,8,,T4976,"L7593,L3475"
Fr,1,539.6176,0.0002,,1.55e-03,,1.72635573,4.0233477,4,6,,T6898,L12264
Fr,1,539.6469,0.0002,,2.62e-04,,1.72635573,4.0232231,4,4,,T6898,L12264
Co,2,539.67255,0.00006,380,6.e-03,D,11.35986063,13.65661905,13,15,,T6999,L9429c118
Fe,1,539.71276,0.00009,132000,2.58e-03,A,0.91460217,3.21118938,9,9,,T3548,L11631
Mo,1,539.7368,0.0010,35,2.9e-02,B,2.8362553,5.1327400,5,3,,T5293,"L10250,L3475"
Ce,1,539.764,0.010,150,2.36e-01,B+,0.2738386,2.5702092,11,11,,T8748,L3475
Fe,2,539.79392,0.00015,130,1.05e-01,C+,10.5226519,12.8188939,6,4,,T6892c83,L18349c139
Fe,2,539.80593,0.00011,170,5.3e-02,D+,10.5194227,12.8156139,6,6,,T6892c83,L18349c139
Fe,1,539.82791,0.00009,1380,9.0e-02,E,4.44562726,6.74172473,5,5,,T2578n,L11631
Cu,2,539.8573,0.0004,140,9.e-02,D+,17.14225144,19.4382237,7,9,,T9697,L869c171
V,1,539.8907,,:,4.9e-05,C+,0.28657323,2.58240252,8,6,,T9627,L19604
Ti,4,539.893,0.010,20,1.0e+00,D,26.335154,28.630974,2,4,,T2757,L2753
Fe,2,539.89400,0.00012,130,1.8e-02,D+,10.5615658,12.8573818,10,10,,T6892c83,L18349c139
Fe,2,539.95618,0.00009,210,5.1e-02,C+,10.5226519,12.8182037,6,8,,T6892c83,L18349c139
Ag,2,540.01037,0.00009,20000,1.8e+00,C,15.7048539,18.0001753,11,13,,T9142,L11881c113
Ra,1,540.0230,0.0020,20,3.4e-01,D+,1.735027,4.030295,5,5,,T8060,L3527
Mo,1,540.0459,0.0010,50,1.81e-02,B+,2.5975747,4.8927447,5,5,,T5293,"L10250,L3475"
Ne,1,540.05616,0.00004,20000,9.00e-03,B+,16.67082693,18.96595369,3,1,,T2733,L3451
Cr,1,540.05967,0.00003,110,1.6e-01,D,3.37521461,5.67032643,5,5,,T1621n,L14866
Tm,1,540.0600,0.0005,26,3.6e-03,B,2.3375761,4.632686,12,14,,T6708,L2006
S,2,540.0712,0.0010,15,4.0e-01,D,16.539488,18.834542,4,4,,"T1619CA,LS",L5883
Fe,1,540.12686,0.00023,151,2.2e-03,E,4.32010008,6.61492758,13,13,,T2578n,L11631
Ti,1,540.1380,0.0004,20,5.9e-04,D,0.8181426,3.1129222,5,5,,"T3430,T3297",L10989
Y,1,540.18770,0.00010,2,6.e-03,D,1.89023866,4.18480679,6,8,,T4373,L7610
Fe,2,540.18855,0.00011,170,3.9e-02,D+,10.5960500,12.8906141,8,8,,T6892c83,L18349c139
V,1,540.1922,0.0002,410000,1.50e-01,C+,2.35861724,4.65316590,10,12,,u40,L15916
Fe,2,540.20576,0.00003,3200,5.6e-01,B+,10.5615658,12.8560572,10,12,,T6892c83,L18349c139
Fe,3,540.206,0.003,120bl(Fe II),1.76e-01,B,24.878197,27.172694,13,13,,u44,L1171
Ta,1,540.2507,0.0010,200,1.35e-02,B+,0.000000,2.294293,4,2,,T4976,"L7593,L3475"
Lu,1,540.257,0.010,500,1.20e-02,B+,0.000000,2.294276,4,6,,T7218,L3475
Eu,1,540.277,0.010,450,3.12e-01,B+,1.639324,3.933514,10,12,,T7356,"L7586,L3475"
Fe,2,540.28926,0.00008,240,2.9e-01,C+,10.5600846,12.8542212,2,2,,T6892c83,L18349c139
Ag,2,540.31323,0.00009,15000,1.8e+00,C,15.7062457,18.0002806,9,11,,T9142,L11881c113
Fe,1,540.38212,0.00009,2090,1.92e-02,C+,4.07581091,6.36955305,9,11,,T5720,L11631
Fe,1,540.41513,0.00009,17000,6.92e-01,B+,4.43461275,6.72821528,9,11,,T5720,L11631
Fe,2,540.50921,0.00003,800bl(Fe II)*,2.10e-01,C+,10.5600846,12.8532884,2,4,,T6892c83,L18349c148
Fe,2,540.50921,0.00003,800bl(Fe II)*,3.6e-02,D+,10.5615658,12.8547671,10,10,,T6892c83,L18349c148
Co,2,540.5232,0.0003,31bl(Co II),1.17e-01,C+,11.36530142,13.65844410,7,7,,T6999,L9429c118
Fe,1,540.53496,0.00023,347,8.45e-03,C,4.38646275,6.67955657,11,11,,T5720,L11631
Fe,2,540.56611,0.00007,250,1.38e-01,C+,10.5226519,12.8156139,6,6,,T6892c83,L18349c139
Mo,1,540.5773,0.0010,35,7.7e-03,B,3.3899667,5.6828810,9,11,,T5293,"L10250,L3475"
Fe,1,540.57749,0.00009,145000,1.09e-02,A,0.99011115,3.28302483,5,3,,T3548,L11631
Ti,1,540.6185,0.0004,7,1.17e-01,C+,3.5693042,5.8620458,9,11,,T6897,L10989
Mo,1,540.6376,0.0010,35,6.4e-02,B,2.7579510,5.0506101,3,1,,T5293,"L10250,L3475"
Ra,1,540.6810,0.0020,20,4.2e-01,D+,1.823472,4.115952,7,7,,T8060,L3527
Mn,1,540.742,0.010,95,5.15e-03,C+,2.142695,4.434911,8,8,,T4649,L3475
Ti,1,540.8940,0.0004,36,1.28e-04,A,0.00000000,2.2915719,5,3,,T7574,L10989
Fe,1,540.91332,0.00009,500,1.1e-02,D,4.37135106,6.66284114,9,11,,T2578n,L11631
O,2,540.9203,0.0010,1,3.10e-04,C,26.5610940,28.8525664,4,2,,T6172,L10621
Ce,2,540.923,0.010,280,9.8e-02,B,1.1030538,3.3945032,12,12,,T8629,L3475
P,2,540.972,0.010,200,9.3e-01,D,10.754880,13.046121,3,1,,"T1619CA,LS",L3986
Cr,1,540.97834,0.00003,8500,6.2e-02,B,1.03000806,3.32122225,9,7,,"T4624,T4913",L14866
Ag,2,541.08114,0.00015,1800,3.6e-02,D+,15.71703894,18.0078180,5,3,,T9142,L11881c113
Fe,1,541.09095,0.00009,11200,6.33e-01,B+,4.47327202,6.76400977,7,9,,T5720,L11631
Fe,2,541.13735,0.00004,600bl(Fe II)*,2.55e-01,B+,10.6000744,12.8906141,6,8,,T6892c83,L18349c148
Fr,1,541.1578,0.0002,,1.86e-03,,1.72635573,4.0168104,4,6,,T6898,L12264
In,2,541.165,0.006,130,2.4e-02,E,15.7051956,17.995618,5,7,,T9131,L3548c126
Co,2,541.17861,0.00019,74*,3.1e-03,D,11.47101544,13.7614016,7,9,,T6999,L9429c118
Co,2,541.17861,0.00019,74*,2.9e-01,C+,11.35986063,13.65022110,13,15,,T6999,L9429c118
Fr,1,541.1932,0.0002,,3.13e-04,,1.72635573,4.0166605,4,4,,T6898,L12264
Ag,2,541.1936,0.0003,740,8.9e-01,C,15.71751387,18.0078180,3,3,,T9142,L11881c113
Fe,2,541.19700,0.00014,150,1.54e-01,C+,10.5600846,12.8503740,2,4,,T6892c83,L18349c139
Ne,1,541.26490,0.00004,2500,3.01e-03,C+,18.72638145,21.01638327,3,5,,T6976,L3451
Fe,2,541.27429,0.00011,170,7.2e-02,C+,10.5226519,12.8126137,6,8,,T6892c83,L18349c139
Fe,1,541.2785,0.0004,76,4.86e-03,B,4.43461275,6.72455738,9,9,,T6110,L11631
Tm,1,541.3727,0.0005,260,1.78e-02,B+,2.3176458,4.607192,16,16,,T6708,L2006
W,1,541.3832,0.0010,10,1.0e-03,D,2.422033,4.711538,11,9,,T4976,L153
Fe,2,541.4089,0.0015,60,9.4e-05,C,3.22131344,5.51071390,8,8,,T7589,"L7357,L18198"
Co,2,541.47883,0.00020,67bl(Co II),1.3e-02,D,11.36530142,13.6544001,7,7,,T6999,L9429c118
Fe,2,541.48521,0.00004,600,9.0e-02,C+,10.5217184,12.8107881,12,12,,T6892c83,L18349c139
